score,count
902,21000
903,21000
904,21000
905,21000
906,21000
907,21000
908,21000
909,21000
910,21000
911,21000
912,21000
913,21000
914,21000
915,21000
916,21000
917,21000
918,21000
919,21000
920,21000
921,21000
922,21000
923,21000
924,21000
925,21000
926,21000
927,21000
928,21000
929,21000
930,21000
931,21000
932,21000
933,21000
934,21000
935,21000
936,21000
937,21000
938,21000
939,21000
940,21000
941,21000
942,21000
943,21000
944,21000
945,21000
946,21000
947,21000
948,21000
949,21000
950,21000
951,21000
952,21000
953,21000
954,21000
955,21000
956,21000
957,21000
958,21000
959,21000
960,21000
961,21000
962,21000
963,21000
964,21000
965,21000
966,21000
967,21000
968,21000
969,21000
970,21000
971,21000
972,21000
973,21000
974,21000
975,21000
976,21000
977,21000
978,21000
979,21000
980,21000
981,21000
982,21000
983,21000
984,21000
985,21000
986,21000
987,21000
988,21000
989,21000
990,21000
991,21000
992,21000
993,21000
994,21000
995,21000
996,21000
997,21000
998,21000
999,21000
1000,21000
1001,21000
1002,21000
1003,21000
1004,21000
1005,21000
1006,21000
1007,21000
1008,21000
1009,21000
1010,21000
1011,21000
1012,21000
1013,21000
1014,21000
1015,21000
1016,21000
1017,21000
1018,21000
1019,21000
1020,21000
1021,21000
1022,21000
1023,21000
1024,21000
1025,21000
1026,21000
1027,21000
1028,21000
1029,21000
1030,21000
1031,21000
1032,21000
1033,21000
1034,21000
1035,21000
1036,21000
1037,21000
1038,21000
1039,21000
1040,21000
1041,21000
1042,21000
1043,21000
1044,21000
1045,21000
1046,21000
1047,21000
1048,21000
1049,21000
1050,21000
1051,21000
1052,21000
1053,21000
1054,21000
1055,21000
1056,21000
1057,21000
1058,21000
1059,21000
1060,21000
1061,21000
1062,21000
1063,21000
1064,21000
1065,21000
1066,21000
1067,21000
1068,21000
1069,21000
1070,21000
1071,21000
1072,21000
1073,21000
1074,21000
1075,21000
1076,21000
1077,21000
1078,21000
1079,21000
1080,21000
1081,21000
1082,21000
1083,21000
1084,21000
1085,21000
1086,21000
1087,21000
1088,21000
1089,21000
1090,21000
1091,21000
1092,21000
1093,21000
1094,21000
1095,21000
1096,21000
1097,21000
1098,21000
1099,21000
1100,21000
1101,21000
1102,21000
1103,21000
1104,21000
1105,21000
1106,21000
1107,21000
1108,21000
1109,21000
1110,21000
1111,21000
1112,21000
1113,21000
1114,21000
1115,21000
1116,21000
1117,21000
1118,21000
1119,21000
1120,21000
1121,21000
1122,21000
1123,21000
1124,21000
1125,21000
1126,21000
1127,21000
1128,21000
1129,21000
1130,21000
1131,21000
1132,21000
1133,21000
1134,21000
1135,21000
1136,21000
1137,21000
1138,21000
1139,21000
1140,21000
1141,21000
1142,21000
1143,21000
1144,21000
1145,21000
1146,21000
1147,21000
1148,21000
1149,21000
1150,21000
1151,21000
1152,21000
1153,21000
1154,21000
1155,21000
1156,21000
1157,21000
1158,21000
1159,21000
1160,21000
1161,21000
1162,21000
1163,21000
1164,21000
1165,21000
1166,21000
1167,21000
1168,21000
1169,21000
1170,21000
1171,21000
1172,21000
1173,21000
1174,21000
1175,21000
1176,21000
1177,21000
1178,21000
1179,21000
1180,21000
1181,21000
1182,21000
1183,21000
1184,21000
1185,21000
1186,21000
1187,21000
1188,21000
1189,21000
1190,21000
1191,21000
1192,21000
1193,21000
1194,21000
1195,21000
1196,21000
1197,21000
1198,21000
1199,21000
1200,21000
1201,21000
1202,21000
1203,21000
1204,21000
1205,21000
1206,21000
1207,21000
1208,21000
1209,21000
1210,21000
1211,21000
1212,21000
1213,21000
1214,21000
1215,21000
1216,21000
1217,21000
1218,21000
1219,21000
1220,21000
1221,21000
1222,21000
1223,21000
1224,21000
1225,21000
1226,21000
1227,21000
1228,21000
1229,21000
1230,21000
1231,21000
1232,21000
1233,21000
1234,21000
1235,21000
1236,21000
1237,21000
1238,21000
1239,21000
1240,21000
1241,21000
1242,21000
1243,21000
1244,21000
1245,21000
1246,21000
1247,21000
1248,21000
1249,21000
1250,21000
1251,21000
1252,21000
1253,21000
1254,21000
1255,21000
1256,21000
1257,21000
1258,21000
1259,21000
1260,21000
1261,21000
1262,21000
1263,21000
1264,21000
1265,21000
1266,21000
1267,21000
1268,21000
1269,21000
1270,21000
1271,21000
1272,21000
1273,21000
1274,21000
1275,21000
1276,21000
1277,21000
1278,21000
1279,21000
1280,21000
1281,21000
1282,21000
1283,21000
1284,21000
1285,21000
1286,21000
1287,21000
1288,21000
1289,21000
1290,21000
1291,21000
1292,21000
1293,21000
1294,21000
1295,21000
1296,21000
1297,21000
1298,21000
1299,21000
1300,21000
1301,21000
1302,21000
1303,21000
1304,21000
1305,21000
1306,21000
1307,21000
1308,21000
1309,21000
1310,21000
1311,21000
1312,21000
1313,21000
1314,21000
1315,21000
1316,21000
1317,21000
1318,21000
1319,21000
1320,21000
1321,21000
1322,21000
1323,21000
1324,21000
1325,21000
1326,21000
1327,21000
1328,21000
1329,21000
1330,21000
1331,21000
1332,21000
1333,21000
1334,21000
1335,21000
1336,21000
1337,21000
1338,21000
1339,21000
1340,21000
1341,21000
